year,region,median_age,data_note,footnotes,data_source,region_code,geographic_boundary
2021,Beaver Creek,40.7,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2021,Burwash Landing,44.5,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.BL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BL'>View boundary on map</a>
2021,Carcross,46.5,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2021,Carmacks,39.4,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2021,Dawson,39.9,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2021,Destruction Bay,50.4,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2021,Faro,47.3,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2021,Haines Junction,45.7,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2021,Johnson's Crossing,57.3,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.JC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.JC'>View boundary on map</a>
2021,Mayo,43.8,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2021,Mendenhall,45.8,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.MH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MH'>View boundary on map</a>
2021,Old Crow,36.2,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2021,Yukon - Other,61,Includes communities such as Champagne; Johnson's Crossing; Keno City; Stewart Crossing; Swift River and Elsa.,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.OTH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OTH'>View boundary on map</a>
2021,Pelly Crossing,36.4,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2021,Ross River,39.9,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2021,Tagish,59.4,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.TG,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TG'>View boundary on map</a>
2021,Teslin,45.3,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.TA,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TA'>View boundary on map</a>
2021,Watson Lake,44,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
2021,Whitehorse - Area,38.3,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.WHA,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WHA'>View boundary on map</a>
2021,Whitehorse - City,37.7,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2021,Yukon,39.1,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK'>View boundary on map</a>
2020,Beaver Creek,39.3,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2020,Burwash Landing,43.9,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.BL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BL'>View boundary on map</a>
2020,Carcross,45.2,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2020,Carmacks,38.7,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2020,Dawson,40,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2020,Destruction Bay,50.1,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2020,Faro,50.2,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2020,Haines Junction,45.7,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2020,Johnson's Crossing,57.4,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.JC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.JC'>View boundary on map</a>
2020,Mayo,41.9,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2020,Mendenhall,44.9,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.MH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MH'>View boundary on map</a>
2020,Old Crow,35.5,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2020,Yukon - Other,60,Includes communities such as Champagne; Johnson's Crossing; Keno City; Stewart Crossing; Swift River and Elsa.,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.OTH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OTH'>View boundary on map</a>
2020,Pelly Crossing,36.4,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2020,Ross River,40.3,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2020,Tagish,59.1,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.TG,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TG'>View boundary on map</a>
2020,Teslin,45.6,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.TA,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TA'>View boundary on map</a>
2020,Watson Lake,44.7,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
2020,Whitehorse - Area,38.1,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.WHA,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WHA'>View boundary on map</a>
2020,Whitehorse - City,37.5,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2020,Yukon,39.1,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK'>View boundary on map</a>
2019,Beaver Creek,39.5,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2019,Burwash Landing,43.1,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.BL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BL'>View boundary on map</a>
2019,Carcross,47,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2019,Carmacks,38,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2019,Dawson,39.9,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2019,Destruction Bay,48.8,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2019,Faro,53.2,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2019,Haines Junction,45.3,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
2019,Johnson's Crossing,54.7,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.JC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.JC'>View boundary on map</a>
2019,Mayo,42.7,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.MO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MO'>View boundary on map</a>
2019,Mendenhall,46.1,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.MH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.MH'>View boundary on map</a>
2019,Old Crow,34.3,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.OC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OC'>View boundary on map</a>
2019,Yukon - Other,61.7,Includes communities such as Champagne; Johnson's Crossing; Keno City; Stewart Crossing; Swift River and Elsa.,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.OTH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.OTH'>View boundary on map</a>
2019,Pelly Crossing,37.9,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.PC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.PC'>View boundary on map</a>
2019,Ross River,40.7,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.RR,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.RR'>View boundary on map</a>
2019,Tagish,58.1,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.TG,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TG'>View boundary on map</a>
2019,Teslin,45.6,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.TA,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.TA'>View boundary on map</a>
2019,Watson Lake,44.7,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.WL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WL'>View boundary on map</a>
2019,Whitehorse - Area,38.1,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.WHA,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WHA'>View boundary on map</a>
2019,Whitehorse - City,37.4,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.WH,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.WH'>View boundary on map</a>
2019,Yukon,39.1,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK'>View boundary on map</a>
2018,Beaver Creek,40.5,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.BC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BC'>View boundary on map</a>
2018,Burwash Landing,41.9,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.BL,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.BL'>View boundary on map</a>
2018,Carcross,45.8,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.CC,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CC'>View boundary on map</a>
2018,Carmacks,37.4,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.CM,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.CM'>View boundary on map</a>
2018,Dawson,39.8,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.DW,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DW'>View boundary on map</a>
2018,Destruction Bay,50.8,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.DB,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.DB'>View boundary on map</a>
2018,Faro,50.8,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.FO,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.FO'>View boundary on map</a>
2018,Haines Junction,44.1,,Birth and death data represent events occurring within Yukon to Yukon residents only. Marriages include all marriages occurring within Yukon regardless of a person's place of residence.,Government of Yukon: Bureau of Statistics,YK.HJ,<a target='_blank' href='https://yukon.maps.arcgis.com/apps/dashboards/8eb842adbd2d4cf6aaa881fd6a17d47c#GEO_CODE=YK.HJ'>View boundary on map</a>
