year,region,total_violations,violent_criminal_code_violation,property_crime,other_criminal_code_volations,criminal_code_traffic_violation,federal_statute_violations,data_note,footnotes,data_source
2006,Dawson,319,68,130,81,14,26,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2006,Faro,21,8,8,3,1,1,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2006,Haines Junction,166,40,78,29,13,6,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2006,Mayo,212,38,88,81,4,1,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2006,Old Crow,156,32,69,38,9,8,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2006,Pelly Crossing,186,32,97,41,12,4,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2006,Ross River,159,36,89,26,5,3,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2006,Teslin,98,17,40,24,13,4,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2006,Watson Lake,890,219,377,255,25,14,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2006,Whitehorse - City,4354,671,2190,1203,192,98,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2006,Yukon,6938,1243,3313,1874,319,189,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2005,Beaver Creek,50,9,21,6,3,11,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2005,Carcross,140,25,65,20,22,8,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2005,Carmacks,229,52,104,50,15,8,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2005,Dawson,377,83,178,77,23,16,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2005,Faro,25,4,13,5,2,1,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2005,Haines Junction,151,23,84,18,18,8,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2005,Mayo,181,33,67,68,7,6,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2005,Old Crow,141,30,73,31,2,5,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2005,Pelly Crossing,206,32,91,75,7,1,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2005,Ross River,214,58,111,29,11,5,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2005,Teslin,108,20,54,25,5,4,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2005,Watson Lake,679,175,315,148,32,9,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2005,Whitehorse - City,5148,763,2526,1517,247,95,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2005,Yukon,7651,1307,3703,2069,394,178,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2004,Beaver Creek,49,14,11,9,3,12,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2004,Carcross,159,36,64,36,14,9,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2004,Carmacks,169,34,83,32,14,6,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2004,Dawson,347,71,147,93,26,10,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2004,Faro,15,1,12,1,0,1,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2004,Haines Junction,83,17,50,7,8,1,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2004,Mayo,149,37,71,28,9,4,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2004,Old Crow,140,45,39,43,8,5,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2004,Pelly Crossing,135,35,59,30,7,4,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2004,Ross River,209,66,91,39,10,3,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2004,Teslin,117,22,57,27,9,2,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2004,Watson Lake,651,154,304,167,17,9,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2004,Whitehorse - City,5690,939,2730,1616,242,163,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2004,Yukon,7914,1471,3719,2128,367,229,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2003,Beaver Creek,91,11,23,27,7,23,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2003,Carcross,171,52,70,25,15,9,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2003,Carmacks,157,43,64,38,7,5,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2003,Dawson,339,76,129,85,24,25,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2003,Faro,25,5,14,4,1,1,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2003,Haines Junction,190,37,91,29,12,21,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2003,Mayo,157,40,68,38,4,7,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2003,Old Crow,136,34,32,58,10,2,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2003,Pelly Crossing,140,34,71,27,7,1,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2003,Ross River,208,58,114,28,4,4,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2003,Teslin,156,35,75,31,6,9,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2003,Watson Lake,973,175,443,318,18,19,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2003,Whitehorse - City,6102,1110,2952,1525,196,319,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2003,Yukon,8845,1710,4146,2233,311,445,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2002,Beaver Creek,84,14,29,22,5,14,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2002,Carcross,135,34,49,31,8,13,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2002,Carmacks,198,41,90,54,8,5,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2002,Dawson,324,73,125,82,15,29,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2002,Faro,22,2,16,1,1,2,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2002,Haines Junction,153,29,86,18,11,9,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2002,Mayo,228,50,103,62,8,5,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2002,Old Crow,148,52,30,47,12,7,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2002,Pelly Crossing,189,65,77,33,11,3,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2002,Ross River,233,70,110,38,10,5,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2002,Teslin,148,41,61,35,6,5,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2002,Watson Lake,1163,212,439,438,30,44,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2002,Whitehorse - City,5895,1036,2735,1493,248,383,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2002,Yukon,8920,1719,3950,2354,373,524,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2001,Beaver Creek,73,18,17,25,3,10,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2001,Carcross,166,48,58,29,15,16,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2001,Carmacks,162,40,64,48,5,5,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2001,Dawson,401,84,185,94,17,21,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2001,Faro,70,21,26,12,4,7,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2001,Haines Junction,169,31,75,30,10,23,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2001,Mayo,165,37,65,52,6,5,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2001,Old Crow,264,60,75,59,20,50,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2001,Pelly Crossing,165,60,61,27,14,3,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2001,Ross River,253,77,135,34,4,3,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2001,Teslin,159,51,64,16,11,17,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2001,Watson Lake,773,147,268,317,18,23,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2001,Whitehorse - City,5371,1010,2484,1456,217,204,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2001,Yukon,8191,1684,3577,2199,344,387,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2000,Beaver Creek,72,14,24,16,5,13,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2000,Carcross,273,66,129,48,19,11,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2000,Carmacks,218,66,92,48,6,6,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2000,Dawson,450,94,206,109,19,22,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2000,Faro,52,10,24,12,2,4,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2000,Haines Junction,146,44,48,33,17,4,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2000,Mayo,141,24,62,42,8,5,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2000,Old Crow,194,54,82,39,14,5,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2000,Pelly Crossing,239,78,80,61,16,4,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2000,Ross River,276,82,133,49,9,3,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2000,Teslin,149,40,61,5,25,18,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2000,Watson Lake,812,248,297,186,46,35,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2000,Whitehorse - City,4943,978,2408,1192,192,173,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
2000,Yukon,7965,1798,3646,1840,378,303,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1999,Beaver Creek,96,12,21,28,7,28,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1999,Carcross,273,66,135,33,18,21,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1999,Carmacks,167,43,73,34,13,4,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1999,Dawson,382,78,197,59,19,29,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1999,Faro,65,12,42,7,1,3,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1999,Haines Junction,117,36,44,15,9,13,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1999,Mayo,121,22,53,36,2,8,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1999,Old Crow,109,22,51,29,1,6,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1999,Pelly Crossing,185,54,59,55,13,4,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1999,Ross River,202,66,58,65,10,3,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1999,Teslin,147,44,54,22,23,4,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1999,Watson Lake,776,303,233,167,35,38,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1999,Whitehorse - City,4211,991,2026,771,261,162,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1999,Yukon,6851,1749,3046,1321,412,323,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1998,Beaver Creek,66,8,14,13,2,29,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1998,Carcross,247,43,128,55,5,16,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1998,Carmacks,104,29,39,25,6,5,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1998,Dawson,490,67,261,82,35,45,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1998,Faro,72,14,41,7,5,5,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1998,Haines Junction,96,24,54,8,9,1,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1998,Mayo,149,19,57,46,2,25,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1998,Old Crow,173,41,59,28,3,42,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1998,Pelly Crossing,156,46,44,49,11,6,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1998,Ross River,245,76,81,62,20,6,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1998,Teslin,143,37,62,37,3,4,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1998,Watson Lake,725,223,192,250,40,20,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1998,Whitehorse - City,3789,705,1995,724,240,125,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
1998,Yukon,6455,1332,3027,1386,381,329,,Based on Royal Canadian Mounted Police detachment areas.,Statistics Canada. Table 35-10-0185-01: Incident-based crime statistics by detailed violations.
